sample,relpath,obfuscation_transformation,pipeline_depth,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,constant_value_transformation,1,pipe19,4828,7441,0,0,4,4,4167.26,yes,yes,24.79,ok,171.27,ok,yes,yes,79.11,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,constant_value_splitting,1,pipe18,4793,6733,0,0,4,4,5256.25,yes,yes,21.57,ok,108.67,ok,yes,yes,72.04,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,import_insertion,1,pipe1,4828,4828,0,0,4,4,3282.2,yes,yes,10.18,ok,25.48,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,constant_value_transformation,1,pipe19,4793,7398,0,0,4,4,5228.47,yes,yes,21.57,ok,116.19,ok,yes,yes,79.08,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,direct_to_indirect,1,pipe12,4757,4857,0,27,4,4,3556.56,yes,yes,26.67,ok,128.41,ok,yes,yes,98.73,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,global_insertion,1,pipe4,4828,4828,0,0,4,4,3866.46,yes,yes,10.18,ok,15.11,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,add_sub_transformation,1,pipe13,4863,4863,0,0,4,4,3367.51,yes,yes,10.6,ok,22.89,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,function_body_cloning,1,pipe3,4757,9457,0,0,4,4,3777.98,yes,yes,26.67,ok,107.36,ok,yes,yes,66.53,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,function_sig_insertion,1,pipe0,4828,5983,0,0,4,4,3958.85,yes,yes,10.18,ok,62.09,ok,yes,yes,94.74,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,data_encryption,1,pipe8,4828,5131,0,0,4,4,3341.41,yes,yes,10.18,ok,14.0,ok,yes,yes,97.73,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,data_insertion,1,pipe7,4828,4828,0,0,4,4,3476.46,yes,yes,10.18,ok,126.93,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,export_insertion,1,pipe6,4828,8012,0,0,4,4,3671.05,yes,yes,10.18,ok,97.16,ok,yes,yes,96.21,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,eqz_transformation,1,pipe15,4828,4828,0,0,4,4,2817.71,yes,yes,10.18,ok,15.41,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,element_insertion,1,pipe5,4828,5474,0,0,4,4,3755.91,yes,yes,10.18,ok,35.78,ok,yes,yes,97.18,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,shift_transformation,1,pipe14,4828,4828,0,0,4,4,3239.45,yes,yes,10.18,ok,74.92,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,mba_transformation,1,pipe17,4828,4891,0,0,4,4,3312.11,yes,yes,10.18,ok,97.08,ok,yes,yes,99.72,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,constant_value_splitting,1,pipe18,4863,6814,0,0,4,4,4531.11,yes,yes,20.87,ok,37.31,ok,yes,yes,72.1,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,offset_expansion,1,pipe16,4863,5796,0,0,4,4,3499.45,yes,yes,10.6,ok,15.84,ok,yes,yes,87.97,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,direct_to_indirect,1,pipe12,4828,4951,0,35,4,4,3359.54,yes,yes,10.18,ok,37.43,ok,yes,yes,98.38,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,constant_value_transformation,1,pipe19,4863,7484,0,0,4,4,4214.73,yes,yes,20.87,ok,142.21,ok,yes,yes,79.15,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,add_sub_transformation,1,pipe13,4757,4757,0,0,4,4,3892.02,yes,yes,26.67,ok,89.59,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,data_encryption,1,pipe8,4933,5236,0,0,4,4,3223.4,yes,yes,21.54,ok,37.71,ok,yes,yes,97.76,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,import_insertion,1,pipe1,4933,4933,0,0,4,4,3376.14,yes,yes,21.54,ok,101.68,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,global_insertion,1,pipe4,4933,4933,0,0,4,4,3567.09,yes,yes,21.54,ok,22.32,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,data_insertion,1,pipe7,4933,4933,0,0,4,4,3636.15,yes,yes,21.54,ok,26.56,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,shift_transformation,1,pipe14,4933,4933,0,0,4,4,3052.61,yes,yes,21.54,ok,14.89,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,eqz_transformation,1,pipe15,4933,4933,0,0,4,4,3073.77,yes,yes,21.54,ok,18.12,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
