sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
rshash.wasm,origin/rshash.wasm,element_insertion,mut5,28242,26413,13,13,4,4,4400.12,yes,yes,36.87,ok,204.12,err,yes,yes,98.87,100.0,61,1,73,73,yes,yes,yes,0,no,,
1b-1-1-0-0-dc-1-0-1.wasm,origin/1b-1-1-0-0-dc-1-0-1.wasm,nop_insertion,mut9,27984,34911,13,13,4,4,6379.98,yes,yes,41.3,ok,84.93,err,yes,yes,75.37,100.0,60,1,72,72,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,function_body_cloning,mut3,28242,25573,13,13,4,4,3651.4,yes,yes,36.87,ok,73.4,err,yes,yes,99.49,100.0,61,1,73,73,yes,yes,yes,0,no,,
minmaxarray.wasm,origin/minmaxarray.wasm,nop_insertion,mut9,28700,35945,13,13,4,4,5950.16,yes,yes,47.07,ok,83.09,err,yes,yes,75.43,100.0,60,1,72,72,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,data_encryption,mut8,28242,26027,13,13,4,6,4147.46,yes,yes,36.87,ok,196.93,err,yes,yes,97.9,100.0,61,1,73,75,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,import_insertion,mut1,28242,28330,13,13,4,4,4136.38,yes,yes,36.87,ok,204.67,err,yes,yes,98.67,100.0,61,1,73,173,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,global_insertion,mut4,28242,26514,13,13,4,4,4049.68,yes,yes,36.87,ok,179.02,err,yes,yes,98.78,100.0,61,1,73,73,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,direct_to_indirect,mut12,28242,26106,13,170,4,4,3531.34,yes,yes,36.87,ok,76.57,err,yes,yes,98.37,100.0,61,1,73,230,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,export_insertion,mut6,28242,28484,13,13,4,4,3584.4,yes,yes,36.87,ok,177.78,err,yes,yes,98.86,100.0,61,101,73,73,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,eqz_transformation,mut15,28063,25680,13,13,4,4,4313.97,yes,yes,38.29,ok,71.06,err,yes,yes,98.91,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,data_insertion,mut7,28063,146365,13,13,4,4,4597.38,yes,yes,39.22,ok,153.21,err,yes,yes,79.12,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,shift_transformation,mut14,28063,25473,13,13,4,4,4272.8,yes,yes,38.29,ok,102.65,err,yes,yes,98.33,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,mba_transformation,mut17,28063,27147,13,13,4,4,4309.25,yes,yes,38.29,ok,206.23,err,yes,yes,95.39,100.0,60,1,72,72,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,constant_value_splitting,mut18,28242,25573,13,13,4,4,4753.69,yes,yes,36.87,ok,107.17,err,yes,yes,99.49,100.0,61,1,73,73,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,add_sub_transformation,mut13,28063,25415,13,13,4,4,2957.97,yes,yes,38.29,ok,76.1,err,yes,yes,99.34,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,function_body_cloning,mut3,28063,25414,13,13,4,4,3466.34,yes,yes,39.22,ok,75.96,err,yes,yes,99.5,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,import_insertion,mut1,28063,27972,13,13,4,4,3185.57,yes,yes,39.22,ok,182.99,err,yes,yes,98.7,100.0,60,1,72,172,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,element_insertion,mut5,28063,26254,13,13,4,4,3635.17,yes,yes,39.22,ok,149.49,err,yes,yes,98.87,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,function_sig_insertion,mut0,28063,26613,13,13,4,4,4235.02,yes,yes,39.22,ok,209.36,err,yes,yes,98.45,100.0,60,1,72,72,yes,yes,yes,0,no,,
vowels.wasm,origin/vowels.wasm,function_insertion,mut2,30375,82082,13,13,4,4,4885.34,yes,yes,41.21,ok,248.24,err,yes,yes,45.6,100.0,64,1,76,176,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,export_insertion,mut6,28063,28670,13,14,4,4,3960.16,yes,yes,39.22,ok,199.75,err,yes,yes,98.82,100.0,60,100,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,data_encryption,mut8,28063,25868,13,13,4,4,3962.66,yes,yes,39.22,ok,72.67,err,yes,yes,97.89,100.0,60,1,72,74,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,global_insertion,mut4,28063,26351,13,13,4,4,3547.52,yes,yes,39.22,ok,136.42,err,yes,yes,98.75,100.0,60,1,72,72,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,shift_transformation,mut14,28242,25632,13,13,4,4,3553.51,yes,yes,36.87,ok,69.3,err,yes,yes,98.32,100.0,61,1,73,73,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,eqz_transformation,mut15,28242,25839,13,13,4,4,3357.93,yes,yes,36.87,ok,74.91,err,yes,yes,98.91,100.0,61,1,73,73,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,add_sub_transformation,mut13,28242,25574,13,13,4,4,3806.51,yes,yes,36.87,ok,79.61,err,yes,yes,99.33,100.0,61,1,73,73,yes,yes,yes,0,no,,
vowels.wasm,origin/vowels.wasm,constant_value_transformation,mut19,30375,35283,13,13,4,4,5201.29,yes,yes,41.21,ok,86.87,err,yes,yes,85.91,100.0,64,1,76,76,yes,yes,yes,0,no,,
1b-1-2-2-1-eq127-0-0-0.wasm,origin/1b-1-2-2-1-eq127-0-0-0.wasm,offset_expansion,mut16,28033,28694,13,13,4,4,3703.73,yes,yes,37.87,ok,71.9,err,yes,yes,90.06,100.0,60,1,72,72,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,data_insertion,mut7,28344,161042,13,13,4,4,4399.26,yes,yes,47.17,ok,189.74,err,yes,yes,77.51,100.0,61,1,73,73,yes,yes,yes,0,no,,
1b-4-2-1-1-gt127-1-1-0.wasm,origin/1b-4-2-1-1-gt127-1-1-0.wasm,function_insertion,mut2,28080,70502,13,13,4,4,4501.81,yes,yes,38.13,ok,245.94,err,yes,yes,48.19,100.0,60,1,72,172,yes,yes,yes,0,no,,
insertionsort.wasm,origin/insertionsort.wasm,constant_value_transformation,mut19,28831,33698,13,13,4,4,3604.1,yes,yes,37.06,ok,78.66,err,yes,yes,85.68,100.0,60,1,72,72,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,mba_transformation,mut17,28242,27376,13,13,4,4,4606.46,yes,yes,36.87,ok,214.7,err,yes,yes,95.23,100.0,61,1,73,73,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,constant_value_splitting,mut18,28063,25414,13,13,4,4,3528.58,yes,yes,39.22,ok,80.77,err,yes,yes,99.5,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,direct_to_indirect,mut12,28063,25940,13,168,4,4,4074.37,yes,yes,39.22,ok,59.2,err,yes,yes,98.39,100.0,60,1,72,227,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,export_insertion,mut6,28344,28729,13,13,4,4,4307.69,yes,yes,47.17,ok,193.01,err,yes,yes,98.84,100.0,61,100,73,73,yes,yes,yes,0,no,,
fnvhash.wasm,origin/fnvhash.wasm,nop_insertion,mut9,28219,35217,13,13,4,4,7929.98,yes,yes,41.49,ok,76.5,err,yes,yes,75.39,100.0,61,1,73,73,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,function_body_cloning,mut3,28344,25673,13,13,4,4,3689.44,yes,yes,47.17,ok,72.77,err,yes,yes,99.49,100.0,61,1,73,73,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,element_insertion,mut5,28344,26513,13,13,4,4,4241.57,yes,yes,47.17,ok,187.88,err,yes,yes,98.87,100.0,61,1,73,73,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,function_sig_insertion,mut0,28344,26820,13,13,4,4,3508.07,yes,yes,47.17,ok,221.17,err,yes,yes,98.52,100.0,61,1,73,73,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,global_insertion,mut4,28344,26633,13,13,4,4,4040.11,yes,yes,47.17,ok,187.45,err,yes,yes,98.75,100.0,61,1,73,73,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,data_encryption,mut8,28344,26122,13,13,4,7,3377.1,yes,yes,47.17,ok,200.86,err,yes,yes,97.9,100.0,61,1,73,75,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,import_insertion,mut1,28344,28259,13,13,4,4,3870.86,yes,yes,47.17,ok,199.82,err,yes,yes,98.7,100.0,61,1,73,172,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,shift_transformation,mut14,28063,25473,13,13,4,4,3997.3,yes,yes,39.22,ok,100.48,err,yes,yes,98.33,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,offset_expansion,mut16,28063,28784,13,13,4,4,3738.44,yes,yes,38.29,ok,105.44,err,yes,yes,89.96,100.0,60,1,72,72,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,direct_to_indirect,mut12,28344,26203,13,169,4,4,3944.6,yes,yes,47.17,ok,67.67,err,yes,yes,98.38,100.0,61,1,73,229,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,eqz_transformation,mut15,28063,25680,13,13,4,4,3525.7,yes,yes,39.22,ok,95.35,err,yes,yes,98.91,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,mba_transformation,mut17,28063,27231,13,13,4,4,3118.16,yes,yes,39.22,ok,193.16,err,yes,yes,95.19,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-gtsum127_dep-1-0-1.wasm,add_sub_transformation,mut13,28063,25415,13,13,4,4,4203.93,yes,yes,39.22,ok,103.12,err,yes,yes,99.34,100.0,60,1,72,72,yes,yes,yes,0,no,,
concatstrings.wasm,origin/concatstrings.wasm,constant_value_splitting,mut18,28344,25673,13,13,4,4,3739.5,yes,yes,47.17,ok,67.62,err,yes,yes,99.49,100.0,61,1,73,73,yes,yes,yes,0,no,,
bubblesort.wasm,origin/bubblesort.wasm,data_insertion,mut7,28787,174328,13,13,4,4,4278.94,yes,yes,40.29,ok,185.21,err,yes,yes,76.31,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-4-2-1-1-gt127-1-1-0.wasm,origin/1b-4-2-1-1-gt127-1-1-0.wasm,constant_value_transformation,mut19,28080,32830,13,13,4,4,4861.38,yes,yes,38.13,ok,98.86,err,yes,yes,85.52,100.0,60,1,72,72,yes,yes,yes,0,no,,
bubblesort.wasm,origin/bubblesort.wasm,function_body_cloning,mut3,28787,26131,13,13,4,4,3632.89,yes,yes,40.29,ok,82.32,err,yes,yes,99.51,100.0,60,1,72,72,yes,yes,yes,0,no,,
quicksort.wasm,origin/quicksort.wasm,nop_insertion,mut9,29398,36925,13,13,4,4,6337.59,yes,yes,13.31,ok,77.91,err,yes,yes,75.47,100.0,61,1,73,73,yes,yes,yes,0,no,,
bubblesort.wasm,origin/bubblesort.wasm,function_sig_insertion,mut0,28787,27377,13,13,4,4,4308.2,yes,yes,40.29,ok,209.71,err,yes,yes,98.43,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,function_insertion,mut2,28063,70424,13,13,4,4,5202.21,yes,yes,38.29,ok,232.01,err,yes,yes,57.06,100.0,60,1,72,172,yes,yes,yes,0,no,,
